ID SPPG	Nama SPPG VALID	AREA	AREA CONFIRMED	Prioritas Installasi (P1/P2/P3)
VYN0OBL1	SPPG CITEUREUP, CIMAHI UTARA #005	BANDUNG	CMI	P1
EEVUVD11	SPPG GANEAS, GANEAS #001	BANDUNG	SMD	P2
EEWPSKAL	SPPG TARIKOLOT, JATINUNGGAL #003	BANDUNG	TASIKMALAYA	P3
OHES6MDW	SPPG CIJATI, SITURAJA #004	BANDUNG	SMD	P2
TYVPH9WF	SPPG TOLENGAS, TOMO	BANDUNG	SMD	P3
WVBZF10M	SPPG KOTA KALER , SUMEDANG UTARA #004	BANDUNG	SMD	P2
ZEZ3TM0G	SPPG PALABUAN, UJUNGJAYA	BANDUNG	UBR	P1
ZTQ8DKK8	SPPG NAGARAWANGI, RANCAKALONG #002	BANDUNG	SMD	P1
UPX1QJ0R	SPPG CIMEKAR, CILEUNYI #012	BANDUNG		P2
DLQ1XX22	SPPG SUKASARI, CILAKU #002	BANDUNG	CJR	P1
KUJUHWP7	SPPG SUKAJADI, CAMPAKA #005	BANDUNG	CJR	P3
3PHMYTGK	SPPG LEMBAHSARI, CIKALONGKULON	BANDUNG	CJR	P2
TUEKPVJS	SPPG MEKARJAYA, CIKALONGKULON #002	BANDUNG	CJR	P2
PC6X27S5	SPPG SIRNAGALIH, CILAKU #008	BANDUNG	CJR	P1
EI4QI8IY	SPPG PALASARI, CIPANAS #003	BANDUNG	CJR	P2
FTUFDHVT	SPPG PALASARI, CIPANAS #006	BANDUNG	CJR	P2
VAPGMOHC	SPPG PADAULUN, MAJALAYA #001	BANDUNG	MJY	P2
OKED1M2I	SPPG TENJOLAYA, CICALENGKA #004	BANDUNG	CCL	P2
MWVMQCCW	SPPG CILEUNYI KULON, CILEUNYI #004	BANDUNG	UBR	P3
QXGUWR6C	SPPG KUTAWARINGIN, KUTAWARINGIN #001	BANDUNG	PDL	
VYNFSIGN	SPPG BALEENDAH, BALEENDAH #017	BANDUNG	BJA	P1
EBVANYKY	SPPG CIAPUS, BANJARAN #002	BANDUNG	BJA	P1
ILA5S5Q2	SPPG CANGKUANG WETAN, DAYEUHKOLOT #002	BANDUNG	BJA	P1
QWD4WZCD	SPPG CIBEUREUM, KERTASARI #002	BANDUNG	MJY	P2
PFH9QN5J	SPPG BOJONG, MAJALAYA	BANDUNG	MJY	P1
